,organisation,alternative name,records lost,year,breach_date,story,sector,method,interesting story,data sensitivity,displayed records,source name,1st source link,2nd source link,ID,organisation_lower,Unnamed: 0,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,article_date,Publication,Headline,URL,BreachMentioned,CompanyMentioned
29,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-11,CNBC,Neiman Marcus says hackers may have stolen payment card data,http://www.cnbc.com/id/101328048,Yes,Neiman Marcus
31,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-23,USA Today,Neiman Marcus: About 1.1 million cards hacked,http://www.usatoday.com/story/tech/2014/01/23/neiman-marcus-11-million-cards/4796647/,Yes,Neiman Marcus
32,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-11,Washington Post,"Neiman Marcus: We were hacked, too",http://www.washingtonpost.com/blogs/the-switch/wp/2014/01/11/now-neiman-marcus-appears-to-have-been-hacked-too/,True,Neiman Marcus
33,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-11,Daily Mail,Now hackers steal credit card details of Neiman Marcus customers,http://www.dailymail.co.uk/news/article-2537599/New-target-Neiman-Marcus-confirm-hackers-gained-access-data-base-customer-credit-cards.html,Yes,Neiman Marcus
34,Neiman Marcus,US retailer,1100000,2014,2014-01-01,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,,2.0,,NY Times,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html,http://krebsonsecurity.com/2014/08/stealthy-razor-thin-atm-insert-skimmers/,175,neiman marcus,1597388,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651,15081,2014-01-10,USA Today,Reports: Neiman Marcus hit by hackers,http://www.usatoday.com/story/money/business/2014/01/10/neiman-marcus-attacked-by-credit-card-hackers/4426333/,Yes,Neiman Marcus
36,Epik,,15000000,2021,2021-09-01,"An Internet-services company for concealing online identities, popular with the far right ",retail,hacked,y,5.0,,Ars Technica,https://arstechnica.com/information-technology/2021/09/epik-data-breach-impacts-15-million-users-including-non-customers/,,391,epik,2436851,epik,makeitepik.com,2014.0,design,1 - 10,"petaling jaya, selangor, malaysia",united kingdom,linkedin.com/company/epik,1,2,2021-09-25,Washington Post,Fallout begins for far-right trolls who trusted Epik to keep their identities secret,https://www.washingtonpost.com/technology/2021/09/25/epik-hack-fallout/,True,Epik
37,Epik,,15000000,2021,2021-09-01,"An Internet-services company for concealing online identities, popular with the far right ",retail,hacked,y,5.0,,Ars Technica,https://arstechnica.com/information-technology/2021/09/epik-data-breach-impacts-15-million-users-including-non-customers/,,391,epik,2436851,epik,makeitepik.com,2014.0,design,1 - 10,"petaling jaya, selangor, malaysia",united kingdom,linkedin.com/company/epik,1,2,2021-09-21,Washington Post,Huge hack reveals embarrassing details of who’s behind Proud Boys and other far-right websites,https://www.washingtonpost.com/technology/2021/09/21/epik-far-right-hack-anonymous/,True,Epik
105,LinkedIn,,117000000,2016,2016-05-01,"A massive batch of login credentials was discovered on the black market after being stolen by hackers. The breach dated from 2012, when the firm's password security policies were weak.",web,hacked,,1.0,"117,000,000",CNN,http://money.cnn.com/2016/05/19/technology/linkedin-hack/,https://money.cnn.com/2012/06/06/technology/linkedin-password-hack/?iid=EL,232,linkedin,3621470,linkedin,linkedin.com,2003.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/linkedin,36309,43622,2016-05-19,CNBC,LinkedIn invalidates millions of potentially compromised  passwords,http://www.cnbc.com/2016/05/19/linkedin-invalidates-millions-of-potentially-compromised-passwords.html,True,LinkedIn
116,LinkedIn,,117000000,2016,2016-05-01,"A massive batch of login credentials was discovered on the black market after being stolen by hackers. The breach dated from 2012, when the firm's password security policies were weak.",web,hacked,,1.0,"117,000,000",CNN,http://money.cnn.com/2016/05/19/technology/linkedin-hack/,https://money.cnn.com/2012/06/06/technology/linkedin-password-hack/?iid=EL,232,linkedin,3621470,linkedin,linkedin.com,2003.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/linkedin,36309,43622,2016-06-16,New York Post,LinkedIn turned my social life into a nightmare         :0,http://nypost.com/2016/06/16/linkedin-turned-my-social-life-into-a-nightmare/,True,LinkedIn
121,LinkedIn,,117000000,2016,2016-05-01,"A massive batch of login credentials was discovered on the black market after being stolen by hackers. The breach dated from 2012, when the firm's password security policies were weak.",web,hacked,,1.0,"117,000,000",CNN,http://money.cnn.com/2016/05/19/technology/linkedin-hack/,https://money.cnn.com/2012/06/06/technology/linkedin-password-hack/?iid=EL,232,linkedin,3621470,linkedin,linkedin.com,2003.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/linkedin,36309,43622,2016-05-18,BBC,Millions of LinkedIn IDs 'for sale',http://www.bbc.com/news/technology-36320322,Yes,LinkedIn
126,LinkedIn,,117000000,2016,2016-05-01,"A massive batch of login credentials was discovered on the black market after being stolen by hackers. The breach dated from 2012, when the firm's password security policies were weak.",web,hacked,,1.0,"117,000,000",CNN,http://money.cnn.com/2016/05/19/technology/linkedin-hack/,https://money.cnn.com/2012/06/06/technology/linkedin-password-hack/?iid=EL,232,linkedin,3621470,linkedin,linkedin.com,2003.0,internet,10001+,"mountain view, california, united states",united states,linkedin.com/company/linkedin,36309,43622,2016-05-20,USA Today,Stay safe: Millions of LinkedIn users told to change password,http://www.usatoday.com/story/tech/2016/05/20/linkedin-hack-2012-passwords-motherboard/84662318/,True,LinkedIn
134,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-07-21,Daily Mail,'It's a death trap': Parents slam Peloton for not having sensors or safety guards on recalled $4k treadmill after their four-year-old son suffered third-degree burns when he was sucked under it,https://www.dailymail.co.uk/news/article-9810513/Parents-boy-left-degree-burns-Peloton-speak-out.html,True,Peloton
136,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-05-03,Washington Post,"How Peloton backed down and agreed to recall treadmills tied to one death, many injuries",https://www.washingtonpost.com/business/2021/05/05/peloton-treadmill-recall/,True,Peloton
137,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-07-01,New York Post,Parents claim Peloton caused third-degree burns on trapped toddler,https://nypost.com/2021/07/01/parents-claim-peloton-caused-third-degree-burns-on-toddler/,True,Peloton
138,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-07-01,Daily Mail,Parents sue Pelton after their three-year-old boy was left with third-degree burns to his back and sides after getting sucked under recalled treadmill,https://www.dailymail.co.uk/news/article-9746941/Boy-suffers-horrific-degree-burns-getting-trapped-Peloton.html,True,Peloton
141,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-05-06,CNBC,Peloton delays launch of its less expensive treadmill in the U.S. after recall,https://www.cnbc.com/2021/05/06/peloton-delays-may-launch-of-its-less-expensive-treadmill-in-the-us.html,True,Peloton
145,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-05-05,CNBC,Peloton recall,https://www.cnbc.com/2021/05/05/peloton-recalling-all-treadmills-after-reports-of-injuries-one-death.html,True,Peloton
146,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-05-06,CNBC,Peloton recall hit,https://www.cnbc.com/2021/05/06/peloton-treadmill-recall-to-lower-fourth-quarter-sales-by-165-million.html,True,Peloton
147,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-05-05,New York Post,"Peloton recalls all treadmills after injuries, child's death",https://nypost.com/2021/05/05/peloton-recalls-all-treadmills-after-injuries-death-of-child/,True,Peloton
152,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-05-05,CNBC,Peloton sheds $4 billion in market value in 1 day over its treadmill debacle,https://www.cnbc.com/2021/05/05/peloton-sheds-4-billion-in-market-cap-in-1-day-over-treadmill-debacle.html,True,Peloton
156,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-05-05,USA Today,"Peloton treadmills recalled, CEO apologizes",https://www.usatoday.com/story/money/2021/05/05/peloton-recall-treadmills-recalled-tread-child-death-injuries/4954455001/,True,Peloton
157,Peloton,,3000000,2021,2021-05-01,,tech,poor security ,,2.0,,Ars Technica,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3,,379,peloton,2462699,peloton,peloton.com,1991.0,oil & energy,51 - 200,"calgary, alberta, canada",canada,linkedin.com/company/peloton,56,154,2021-05-05,Daily Mail,"Peloton users' private account data including their age, city, workout statistics and weight are leaked by software bug",https://www.dailymail.co.uk/news/article-9545957/Peloton-users-private-account-data-exposed-software-bug.html,True,Peloton
268,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-04-03,Daily Mail,622 comments,https://www.dailymail.co.uk/news/article-9433271/Leaker-says-offering-private-details-500-million-Facebook-users.html#comments,True,Facebook
455,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-04-13,The Guardian,Facebook  Company knew of Honduran president’s manipulation campaign – and let it continue for 11 months,https://www.theguardian.com/technology/2021/apr/13/facebook-honduras-juan-orlando-hernandez-fake-engagement,True,Facebook
464,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-03-23,The Guardian,Facebook  Company sued for 'deceptive practices' over disinformation on platform,https://www.theguardian.com/technology/2021/mar/23/facebook-lawsuit-deceptive-practices-disinformation,True,Facebook
468,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-04-08,The Guardian,Facebook  Company will not notify more than 530m users exposed in 2019 breach,https://www.theguardian.com/technology/2021/apr/08/facebook-2019-breach-users,True,Facebook
472,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-04-03,The Guardian,Facebook  Details from 500 million users found on website for hackers,https://www.theguardian.com/technology/2021/apr/03/500-million-facebook-users-website-hackers,True,Facebook
486,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-04-12,The Guardian,Facebook  How it let fake engagement distort politics,https://www.theguardian.com/technology/2021/apr/12/facebook-fake-engagement-whistleblower-sophie-zhang,True,Facebook
516,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-03-31,The Guardian,Facebook  Trump video clip removed ‘in line with block’,https://www.theguardian.com/technology/2021/mar/31/facebook-donald-trump-video-clip-removed,True,Facebook
663,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-03-17,New York Post,Facebook cracks down on content glorifying Atlanta spa shootings,https://nypost.com/2021/03/17/facebook-cracks-down-on-content-glorifying-atlanta-spa-shootings/,True,Facebook
670,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-04-04,CNBC,Facebook data on more than 500 million accounts found online,https://www.cnbc.com/2021/04/04/facebook-data-on-more-than-500-million-accounts-found-online.html,True,Facebook
671,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-04-04,USA Today,Facebook data on more than 500M accounts found…,https://www.usatoday.com/story/tech/news/2021/04/04/500-m-facebook-users-personal-information-leaked-online/7084349002/,True,Facebook
687,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-03-24,Washington Post,Facebook disrupts China-based hackers it says spied on Uyghur Muslim dissidents and journalists living outside China,https://www.washingtonpost.com/national-security/china-espionage-uyghurs-facebook/2021/03/24/7f2978d2-8c38-11eb-a6bd-0eb91c03305a_story.html,True,Facebook
690,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-04-20,BBC,Facebook downplays data breach in internal email,https://www.bbc.com/news/technology-56815478,True,Facebook
708,Facebook,,533000000,2021,2021-03-01,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",tech,hacked,y,1.0,"533,000,000",Business Insider,https://www.businessinsider.com/stolen-data-of-533-million-facebook-users-leaked-online-2021-4?r=US&IR=T,,371,facebook,3372569,facebook,facebook.com,2004.0,internet,10001+,"menlo park, california, united states",united states,linkedin.com/company/facebook,36149,49059,2021-04-14,BBC,Facebook faces investigation over data breach,https://www.bbc.com/news/technology-56745734,True,Facebook
