,organisation,records lost,year,breach_date,sector,method,data sensitivity,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate,number of articles
168,US Military,260000,2010,2010-11-01,military,inside job,5.0,u.s. military,0,0.0,military,11 - 50,"killeen, texas, united states",united states,linkedin.com/company/american-military-assoc,7.0,8.0,0
185,Weebly,43000000,2016,2016-10-01,web,hacked,4.0,weebly,weebly.com,2006.0,internet,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/weebly,178.0,441.0,0
186,Whitepages,18000000,2019,2019-02-01,web,hacked,1.0,whitepages,whitepages.com,1997.0,internet,201 - 500,"seattle, washington, united states",united states,linkedin.com/company/whitepages,122.0,455.0,0
191,Yahoo Japan,22000000,2013,2013-05-01,"web, tech",hacked,1.0,yahoo! japan,0,1996.0,internet,1001 - 5000,"tokyo, tokyo, japan",japan,linkedin.com/company/yahoojapan,671.0,1113.0,0
183,Waterly,1000000,2017,2017-01-01,app,poor security,3.0,waterly,waterly.nl,2015.0,food & beverages,1 - 10,"amsterdam, noord-holland, netherlands",netherlands,linkedin.com/company/waterly,1.0,1.0,0
152,TD Ameritrade,6300000,2007,2007-09-01,finance,hacked,1.0,td ameritrade,tdameritrade.com,1975.0,financial services,5001 - 10000,"omaha, nebraska, united states",united states,linkedin.com/company/td-ameritrade,4840.0,10585.0,0
154,Three,130000,2016,2016-11-01,telecoms,hacked,2.0,three.,three.co.uk,2003.0,telecommunications,5001 - 10000,"berks, west berkshire, united kingdom",united kingdom,linkedin.com/company/three-co-uk,3366.0,12380.0,0
157,Travelio,471376,2021,2021-11-01,misc,hacked,2.0,travelio,travelio.ro,2004.0,information technology and services,11 - 50,"bucharest, bucuresti, romania",romania,linkedin.com/company/travelio,4.0,11.0,0
155,Tianya,40000000,2013,2013-07-01,web,hacked,1.0,tianya,tianya.cn,1999.0,online media,51 - 200,"haikou, hainan, china",china,linkedin.com/company/tianya,51.0,90.0,0
144,Star Alliance,16000000,2021,2021-03-01,transport,hacked,1.0,star alliance,staralliance.com,1997.0,airlines/aviation,201 - 500,"auburndale, massachusetts, united states",united states,linkedin.com/company/star-alliance,188.0,599.0,0
130,SVR Tracking,540000,2017,2017-09-01,app,poor security,4.0,svr tracking,svrtracking.com,0.0,information technology and services,1 - 10,"san diego, california, united states",united states,linkedin.com/company/svr-tracking,2.0,3.0,0
129,SKY Brasil,32000000,2018,2018-11-01,telecoms,poor security,1.0,sky brasil,sky.com.br,1996.0,broadcast media,5001 - 10000,0,0,linkedin.com/company/sky-brasil,2236.0,5644.0,0
132,Securus Technologies,70000000,2015,2015-11-01,web,hacked,5.0,securus technologies,securustechnologies.com,1986.0,information technology and services,1001 - 5000,0,0,linkedin.com/company/securus-technologies,492.0,1041.0,0
131,Scribd,500000,2013,2013-04-01,web,hacked,1.0,scribd,scribd.com,2007.0,online media,201 - 500,"san francisco, california, united states",united states,linkedin.com/company/scribd,108.0,254.0,0
128,Royal Enfield,420873,2020,2020-01-01,transport,poor security,3.0,royal enfield,royalenfield.com,1901.0,automotive,1001 - 5000,"gurgaon, haryana, india",india,linkedin.com/company/royal-enfield,1474.0,2302.0,0
105,MyFitnessPal,150000000,2018,2018-03-01,app,hacked,1.0,myfitnesspal,myfitnesspal.com,2005.0,internet,51 - 200,"san francisco, california, united states",united states,linkedin.com/company/myfitnesspal,38.0,118.0,1
113,Nintendo,300000,2020,2020-04-01,gaming,hacked,3.0,nintendo,nintendo.com,1889.0,computer games,1001 - 5000,"redmond, washington, united states",united states,linkedin.com/company/nintendo,1452.0,4412.0,1
30,Carefirst,1100000,2015,2015-05-01,health ,hacked,1.0,carefirst,care-first.nl,0.0,hospital & health care,51 - 200,0,0,linkedin.com/company/carefirst,66.0,138.0,1
19,Blizzard,14000000,2012,2012-08-01,gaming,hacked,2.0,blizzard,blizzardplows.com,1995.0,machinery,11 - 50,"milwaukee, wisconsin, united states",united states,linkedin.com/company/blizzard,14.0,14.0,1
48,EasyJet,9000000,2020,2020-05-01,transport,hacked,3.0,easyjet,easyjet.com,1995.0,airlines/aviation,10001+,0,0,linkedin.com/company/easyjet,3760.0,7497.0,1
110,Neiman Marcus,4600000,2021,2021-09-01,retail,hacked,3.0,neiman marcus,neimanmarcus.com,1907.0,retail,5001 - 10000,"dallas, texas, united states",united states,linkedin.com/company/neiman-marcus,4651.0,15081.0,1
122,Quora,100000000,2018,2018-12-01,web,hacked,1.0,quora,quora.com,2009.0,internet,201 - 500,"mountain view, california, united states",united states,linkedin.com/company/quora,238.0,493.0,1
101,Microsoft,250000000,2020,2020-01-01,web,poor security,1.0,microsoft,microsoft.com,1975.0,computer software,10001+,"redmond, washington, united states",united states,linkedin.com/company/microsoft,116196.0,276983.0,1
73,Global Payments,1500000,2012,2012-04-01,finance,hacked,3.0,global payments,globalpaymentsinc.com,1967.0,financial services,1001 - 5000,"atlanta, georgia, united states",united states,linkedin.com/company/global-payments,1765.0,3982.0,1
76,Hacking Team,500000,2015,2015-07-01,web,hacked,5.0,hacking team,hackingteam.com,2003.0,computer & network security,51 - 200,"milan, lombardy, italy",italy,linkedin.com/company/hacking-team,52.0,80.0,1
151,T-Mobile,2000000,2018,2018-08-01,telecoms,hacked,1.0,t-mobile,tmobile.com,2002.0,telecommunications,10001+,"bellevue, washington, united states",united states,linkedin.com/company/t-mobile,30100.0,71654.0,1
158,Tricare,4901432,2011,2011-09-01,"military, health",lost device ,4.0,tricare,tricaremn.com,2012.0,hospital & health care,51 - 200,"minnetonka, minnesota, united states",united states,linkedin.com/company/tricare,48.0,73.0,1
141,Spotify,500000,2020,2020-12-01,app,oops!,1.0,spotify,spotify.com,2006.0,computer software,5001 - 10000,"stockholm, stockholm, sweden",sweden,linkedin.com/company/spotify,3022.0,5941.0,1
156,TicketFly,27000000,2018,2018-05-01,web,hacked,2.0,ticketfly,ticketfly.com,2008.0,entertainment,51 - 200,"san francisco, california, united states",united states,linkedin.com/company/ticketfly,56.0,334.0,1
38,Dailymotion,85200000,2016,2016-12-01,web,hacked,1.0,dailymotion,dailymotion.com,2005.0,internet,1001 - 5000,"paris, île-de-france, france",france,linkedin.com/company/dailymotion,358.0,984.0,1
181,Virgin Media,900000,2020,2020-03-01,retail,poor security,1.0,virgin media,virginmedia.com,2007.0,telecommunications,10001+,"hook, hampshire, united kingdom",united kingdom,linkedin.com/company/virgin-media,5442.0,15799.0,1
187,Wonga,270000,2017,2017-04-01,finance,hacked,4.0,wonga,wonga.com,2007.0,financial services,501 - 1000,"london, greater london, united kingdom",united kingdom,linkedin.com/company/wonga-com,319.0,1059.0,1
182,Vodafone,2000000,2013,2013-09-01,telecoms,inside job,3.0,vodafone,vodafone.com,1982.0,telecommunications,10001+,"berks, west berkshire, united kingdom",united kingdom,linkedin.com/company/vodafone,66632.0,174892.0,1
193,Zomato,17000000,2017,2017-05-01,web,hacked,4.0,zomato,zomato.com,2008.0,consumer services,1001 - 5000,"gurgaon, haryana, india",india,linkedin.com/company/zomato,1430.0,4289.0,1
