,year,corpName,breachType,numRecords,industry,numCustomers,numEmployees,recordType,sensitivity
5751,2007,Amazon,Ransomware,437708,Technology,,,,
6206,2007,Amazon,Password Guessing,322867,Retail,,,,
6229,2007,Amazon,Password Guessing,262855,Technology,,,,
7277,2007,Amazon,Insider Threat,374751,Technology,,,,
7541,2007,Amazon,DDoS Attack,461181,Retail,,,,
7670,2007,Amazon,Password Guessing,171266,Retail,,,,
8051,2007,Amazon,Malware,434953,Technology,,,,
8476,2007,Amazon,Ransomware,337538,Technology,,,,
9723,2007,Amazon,Ransomware,407184,Technology,,,,
11056,2007,Amazon,Password Guessing,599694,Finance,,,,
12083,2007,Amazon,Ransomware,458801,Finance,,,,
348,2008,Amazon,Ransomware,499940,Technology,,,,
386,2008,Amazon,Phishing,515178,Technology,,,,
1473,2008,Amazon,Password Guessing,24482,Technology,,,,
2608,2008,Amazon,DDoS Attack,82193,Retail,,,,
3973,2008,Amazon,Phishing,963663,Retail,,,,
5071,2008,Amazon,Ransomware,737674,Retail,,,,
5898,2008,Amazon,Ransomware,733607,Technology,,,,
6204,2008,Amazon,Physical Breach,371082,Retail,,,,
6294,2008,Amazon,Malware,603791,Retail,,,,
6665,2008,Amazon,Phishing,616514,Technology,,,,
8712,2008,Amazon,Insider Threat,861429,Technology,,,,
9370,2008,Amazon,Phishing,149741,Technology,,,,
10455,2008,Amazon,Insider Threat,870309,Healthcare,,,,
11653,2008,Amazon,Phishing,422409,Retail,,,,
12013,2008,Amazon,Malware,69595,Finance,,,,
12066,2008,Amazon,Phishing,311661,Retail,,,,
146,2009,Amazon,Password Guessing,806967,Technology,,,,
618,2009,Amazon,Malware,395000,Retail,,,,
920,2009,Amazon,Password Guessing,807234,Retail,,,,
1466,2009,Amazon,Insider Threat,58008,Technology,,,,
1972,2009,Amazon,Physical Breach,972219,Retail,,,,
2781,2009,Amazon,Physical Breach,258771,Retail,,,,
2844,2009,Amazon,Malware,707147,Retail,,,,
3435,2009,Amazon,Phishing,198108,Retail,,,,
4330,2009,Amazon,Phishing,920733,Technology,,,,
4559,2009,Amazon,Physical Breach,642682,Technology,,,,
5541,2009,Amazon,Password Guessing,628644,Retail,,,,
5833,2009,Amazon,DDoS Attack,197404,Retail,,,,
6297,2009,Amazon,Insider Threat,55108,Retail,,,,
7836,2009,Amazon,Phishing,330264,Technology,,,,
8191,2009,Amazon,Malware,56929,Technology,,,,
8367,2009,Amazon,Phishing,616916,Technology,,,,
8717,2009,Amazon,DDoS Attack,618113,Technology,,,,
9957,2009,Amazon,Ransomware,820945,Technology,,,,
10494,2009,Amazon,Malware,790714,Technology,,,,
10697,2009,Amazon,Malware,647335,Technology,,,,
12149,2009,Amazon,Ransomware,588250,Healthcare,,,,
1990,2010,Amazon,Insider Threat,658027,Technology,,,,
2314,2010,Amazon,Physical Breach,540358,Retail,,,,
3347,2010,Amazon,Phishing,330201,Retail,,,,
5548,2010,Amazon,DDoS Attack,976679,Retail,,,,
5978,2010,Amazon,Password Guessing,547849,Retail,,,,
6108,2010,Amazon,Insider Threat,879207,Technology,,,,
6159,2010,Amazon,DDoS Attack,608928,Retail,,,,
6334,2010,Amazon,Physical Breach,803505,Technology,,,,
7441,2010,Amazon,Malware,716334,Retail,,,,
7714,2010,Amazon,Malware,900948,Technology,,,,
7969,2010,Amazon,Malware,715029,Technology,,,,
8435,2010,Amazon,DDoS Attack,625317,Technology,,,,
8599,2010,Amazon,Insider Threat,193863,Technology,,,,
8606,2010,Amazon,Malware,270932,Technology,,,,
9160,2010,Amazon,Phishing,288077,Technology,,,,
9261,2010,Amazon,Malware,672678,Technology,,,,
11021,2010,Amazon,Malware,114237,Technology,,,,
12070,2010,Amazon,Password Guessing,398078,Finance,,,,
12123,2010,Amazon,Phishing,283217,Healthcare,,,,
824,2011,Amazon,Insider Threat,224787,Technology,,,,
1448,2011,Amazon,Ransomware,873210,Retail,,,,
2507,2011,Amazon,Ransomware,800685,Retail,,,,
2777,2011,Amazon,Malware,269218,Retail,,,,
2995,2011,Amazon,DDoS Attack,813014,Technology,,,,
3493,2011,Amazon,Physical Breach,660038,Retail,,,,
3695,2011,Amazon,Password Guessing,723032,Retail,,,,
4481,2011,Amazon,Insider Threat,490659,Retail,,,,
5068,2011,Amazon,Ransomware,483289,Technology,,,,
5340,2011,Amazon,DDoS Attack,77239,Retail,,,,
5989,2011,Amazon,Malware,347967,Retail,,,,
6305,2011,Amazon,Password Guessing,887985,Technology,,,,
6997,2011,Amazon,Insider Threat,918823,Retail,,,,
8995,2011,Amazon,Physical Breach,692200,Technology,,,,
9451,2011,Amazon,Malware,887043,Technology,,,,
9562,2011,Amazon,DDoS Attack,492792,Technology,,,,
39,2012,Amazon,Insider Threat,663398,Retail,,,,
1074,2012,Amazon,Ransomware,124295,Technology,,,,
1248,2012,Amazon,Insider Threat,900146,Retail,,,,
1501,2012,Amazon,Insider Threat,796921,Retail,,,,
1681,2012,Amazon,Malware,504683,Retail,,,,
2490,2012,Amazon,Password Guessing,656703,Technology,,,,
3561,2012,Amazon,Insider Threat,277935,Technology,,,,
4226,2012,Amazon,Physical Breach,90732,Retail,,,,
4743,2012,Amazon,Physical Breach,454012,Technology,,,,
4953,2012,Amazon,Phishing,454157,Technology,,,,
5293,2012,Amazon,Password Guessing,436367,Technology,,,,
5592,2012,Amazon,DDoS Attack,609215,Technology,,,,
7375,2012,Amazon,Physical Breach,862536,Retail,,,,
7592,2012,Amazon,Ransomware,781654,Technology,,,,
8079,2012,Amazon,Physical Breach,613238,Technology,,,,
8277,2012,Amazon,Physical Breach,86595,Technology,,,,
8434,2012,Amazon,Password Guessing,496842,Technology,,,,
8692,2012,Amazon,Malware,475596,Technology,,,,
10300,2012,Amazon,Password Guessing,611332,Healthcare,,,,
10623,2012,Amazon,Ransomware,481581,Technology,,,,
1062,2013,Amazon,Malware,427068,Retail,,,,
1384,2013,Amazon,Insider Threat,258633,Technology,,,,
2192,2013,Amazon,Password Guessing,861205,Retail,,,,
2660,2013,Amazon,Physical Breach,798420,Retail,,,,
4124,2013,Amazon,Phishing,894829,Retail,,,,
4248,2013,Amazon,Insider Threat,545544,Technology,,,,
4734,2013,Amazon,Phishing,65700,Technology,,,,
5030,2013,Amazon,Insider Threat,36617,Retail,,,,
5263,2013,Amazon,DDoS Attack,441073,Technology,,,,
5332,2013,Amazon,Phishing,600932,Technology,,,,
7203,2013,Amazon,Insider Threat,564952,Retail,,,,
7553,2013,Amazon,Phishing,772981,Technology,,,,
8295,2013,Amazon,Malware,141901,Technology,,,,
8306,2013,Amazon,Malware,526849,Technology,,,,
8473,2013,Amazon,Phishing,659632,Technology,,,,
8481,2013,Amazon,Physical Breach,228467,Technology,,,,
9372,2013,Amazon,Phishing,384494,Technology,,,,
9865,2013,Amazon,Malware,162780,Technology,,,,
9909,2013,Amazon,Malware,456942,Technology,,,,
10283,2013,Amazon,DDoS Attack,351974,Retail,,,,
10289,2013,Amazon,Password Guessing,377557,Retail,,,,
913,2014,Amazon,Malware,279196,Technology,,,,
1244,2014,Amazon,Malware,216621,Retail,,,,
2279,2014,Amazon,DDoS Attack,12226,Retail,,,,
3786,2014,Amazon,Insider Threat,7148,Retail,,,,
3821,2014,Amazon,Password Guessing,478493,Technology,,,,
3882,2014,Amazon,DDoS Attack,234799,Retail,,,,
4006,2014,Amazon,Password Guessing,41556,Technology,,,,
4144,2014,Amazon,Insider Threat,106935,Technology,,,,
4441,2014,Amazon,Ransomware,355808,Retail,,,,
5175,2014,Amazon,Physical Breach,946119,Technology,,,,
6244,2014,Amazon,Physical Breach,15947,Retail,,,,
8982,2014,Amazon,Ransomware,92500,Technology,,,,
9243,2014,Amazon,Ransomware,21917,Technology,,,,
9304,2014,Amazon,Password Guessing,249437,Technology,,,,
9474,2014,Amazon,Malware,761991,Technology,,,,
9510,2014,Amazon,Phishing,660212,Technology,,,,
9571,2014,Amazon,DDoS Attack,552251,Technology,,,,
9594,2014,Amazon,Physical Breach,815706,Technology,,,,
9929,2014,Amazon,Phishing,415178,Technology,,,,
10112,2014,Amazon,Malware,232479,Finance,,,,
1340,2015,Amazon,DDoS Attack,424923,Retail,,,,
1872,2015,Amazon,Insider Threat,471815,Retail,,,,
1897,2015,Amazon,DDoS Attack,986375,Technology,,,,
1982,2015,Amazon,Phishing,359328,Technology,,,,
2068,2015,Amazon,Ransomware,741364,Technology,,,,
2533,2015,Amazon,Malware,132652,Technology,,,,
3283,2015,Amazon,DDoS Attack,649599,Retail,,,,
4665,2015,Amazon,Malware,217298,Technology,,,,
5519,2015,Amazon,Ransomware,3421,Retail,,,,
5813,2015,Amazon,Ransomware,898302,Technology,,,,
5972,2015,Amazon,DDoS Attack,310701,Technology,,,,
6573,2015,Amazon,Phishing,40011,Technology,,,,
6814,2015,Amazon,Phishing,890274,Retail,,,,
7463,2015,Amazon,Phishing,601725,Retail,,,,
11351,2015,Amazon,Malware,95715,Healthcare,,,,
11401,2015,Amazon,Physical Breach,672784,Healthcare,,,,
11415,2015,Amazon,Physical Breach,947764,Retail,,,,
11872,2015,Amazon,Ransomware,925825,Retail,,,,
946,2016,Amazon,Malware,688781,Technology,,,,
1818,2016,Amazon,Physical Breach,715637,Technology,,,,
2137,2016,Amazon,Insider Threat,758899,Technology,,,,
2600,2016,Amazon,Malware,887128,Technology,,,,
2751,2016,Amazon,Password Guessing,520498,Technology,,,,
2889,2016,Amazon,Physical Breach,338503,Technology,,,,
4578,2016,Amazon,Ransomware,80484,Technology,,,,
4634,2016,Amazon,Password Guessing,673300,Technology,,,,
4823,2016,Amazon,Malware,33589,Technology,,,,
5307,2016,Amazon,Malware,494842,Retail,,,,
5873,2016,Amazon,Password Guessing,254030,Technology,,,,
6410,2016,Amazon,DDoS Attack,943281,Retail,,,,
6505,2016,Amazon,Password Guessing,760181,Technology,,,,
6940,2016,Amazon,Ransomware,392257,Retail,,,,
7987,2016,Amazon,Malware,931833,Technology,,,,
8220,2016,Amazon,DDoS Attack,978459,Technology,,,,
8286,2016,Amazon,Phishing,931225,Technology,,,,
9374,2016,Amazon,Phishing,825347,Technology,,,,
9622,2016,Amazon,DDoS Attack,270810,Technology,,,,
9916,2016,Amazon,Physical Breach,450883,Technology,,,,
10867,2016,Amazon,Phishing,943273,Government,,,,
202,2017,Amazon,DDoS Attack,970389,Retail,,,,
1824,2017,Amazon,Phishing,721106,Retail,,,,
2680,2017,Amazon,Insider Threat,323596,Technology,,,,
3165,2017,Amazon,Physical Breach,912219,Retail,,,,
3596,2017,Amazon,DDoS Attack,666418,Retail,,,,
3618,2017,Amazon,Ransomware,212514,Retail,,,,
6024,2017,Amazon,DDoS Attack,179753,Technology,,,,
8987,2017,Amazon,Phishing,195587,Technology,,,,
9034,2017,Amazon,Ransomware,335543,Technology,,,,
9085,2017,Amazon,Physical Breach,289873,Technology,,,,
311,2018,Amazon,Phishing,151616,Technology,,,,
543,2018,Amazon,Phishing,108677,Technology,,,,
995,2018,Amazon,DDoS Attack,278366,Retail,,,,
1371,2018,Amazon,Phishing,21754,Technology,,,,
1413,2018,Amazon,Password Guessing,131034,Retail,,,,
1687,2018,Amazon,Phishing,505385,Technology,,,,
1689,2018,Amazon,Phishing,399376,Technology,,,,
2913,2018,Amazon,Ransomware,535698,Retail,,,,
3411,2018,Amazon,DDoS Attack,200500,Technology,,,,
4945,2018,Amazon,Insider Threat,510107,Retail,,,,
5777,2018,Amazon,Phishing,299574,Retail,,,,
6235,2018,Amazon,Password Guessing,178649,Technology,,,,
8152,2018,Amazon,Physical Breach,659611,Technology,,,,
8479,2018,Amazon,Malware,585341,Technology,,,,
8565,2018,Amazon,Physical Breach,668404,Technology,,,,
9611,2018,Amazon,Ransomware,107368,Technology,,,,
9859,2018,Amazon,Insider Threat,18247,Technology,,,,
10519,2018,Amazon,Password Guessing,764753,Healthcare,,,,
11913,2018,Amazon,Ransomware,142122,Finance,,,,
12131,2018,Amazon,Password Guessing,641822,Technology,,,,
384,2019,Amazon,DDoS Attack,846872,Retail,,,,
1776,2019,Amazon,DDoS Attack,655818,Retail,,,,
2458,2019,Amazon,Password Guessing,647054,Retail,,,,
2604,2019,Amazon,Ransomware,120558,Retail,,,,
2641,2019,Amazon,Phishing,471358,Retail,,,,
4347,2019,Amazon,Insider Threat,194674,Technology,,,,
4471,2019,Amazon,Insider Threat,880165,Retail,,,,
5941,2019,Amazon,Phishing,435640,Retail,,,,
6329,2019,Amazon,DDoS Attack,461073,Retail,,,,
6653,2019,Amazon,DDoS Attack,349624,Technology,,,,
6674,2019,Amazon,Ransomware,259749,Retail,,,,
9561,2019,Amazon,Physical Breach,10728,Technology,,,,
9599,2019,Amazon,DDoS Attack,37281,Technology,,,,
350,2020,Amazon,Phishing,105441,Technology,,,,
433,2020,Amazon,Insider Threat,553891,Technology,,,,
799,2020,Amazon,Malware,284031,Technology,,,,
854,2020,Amazon,DDoS Attack,109442,Technology,,,,
935,2020,Amazon,Password Guessing,983024,Technology,,,,
1053,2020,Amazon,Physical Breach,221686,Technology,,,,
1188,2020,Amazon,Insider Threat,748717,Technology,,,,
1435,2020,Amazon,Malware,743501,Retail,,,,
1758,2020,Amazon,Ransomware,115143,Technology,,,,
2917,2020,Amazon,Password Guessing,93500,Retail,,,,
4314,2020,Amazon,Insider Threat,650090,Retail,,,,
4606,2020,Amazon,DDoS Attack,111995,Retail,,,,
7165,2020,Amazon,Physical Breach,813414,Technology,,,,
8448,2020,Amazon,Ransomware,209146,Technology,,,,
9565,2020,Amazon,Insider Threat,829239,Technology,,,,
153,2021,Amazon,Physical Breach,826551,Technology,,,,
383,2021,Amazon,DDoS Attack,977806,Retail,,,,
1428,2021,Amazon,Ransomware,112161,Technology,,,,
2175,2021,Amazon,Insider Threat,347895,Retail,,,,
2305,2021,Amazon,Phishing,642809,Retail,,,,
4676,2021,Amazon,Physical Breach,670936,Technology,,,,
5492,2021,Amazon,Insider Threat,152512,Retail,,,,
5744,2021,Amazon,Phishing,918759,Technology,,,,
5765,2021,Amazon,DDoS Attack,449197,Technology,,,,
5820,2021,Amazon,Physical Breach,959902,Retail,,,,
7124,2021,Amazon,Phishing,187578,Retail,,,,
8353,2021,Amazon,Ransomware,910208,Technology,,,,
8762,2021,Amazon,Ransomware,798645,Technology,,,,
9232,2021,Amazon,Insider Threat,348693,Technology,,,,
9532,2021,Amazon,Malware,152817,Technology,,,,
10019,2021,Amazon,Phishing,944302,Technology,,,,
1001,2022,Amazon,Ransomware,17901,Technology,,,,
2205,2022,Amazon,DDoS Attack,372236,Retail,,,,
2655,2022,Amazon,Malware,425181,Retail,,,,
4111,2022,Amazon,Malware,522185,Technology,,,,
4819,2022,Amazon,DDoS Attack,107427,Technology,,,,
5865,2022,Amazon,Phishing,944070,Technology,,,,
6801,2022,Amazon,DDoS Attack,190459,Technology,,,,
7872,2022,Amazon,Physical Breach,49144,Technology,,,,
8788,2022,Amazon,Phishing,961988,Technology,,,,
9109,2022,Amazon,DDoS Attack,726908,Technology,,,,
9197,2022,Amazon,Password Guessing,15999,Technology,,,,
11739,2022,Amazon,Insider Threat,836567,Technology,,,,
11762,2022,Amazon,Phishing,936259,Healthcare,,,,
992,2023,Amazon,Malware,952805,Retail,,,,
1035,2023,Amazon,Ransomware,843678,Technology,,,,
1856,2023,Amazon,Phishing,250717,Technology,,,,
1875,2023,Amazon,Malware,877964,Retail,,,,
1909,2023,Amazon,Insider Threat,143592,Technology,,,,
2494,2023,Amazon,Password Guessing,985403,Retail,,,,
3277,2023,Amazon,Password Guessing,272330,Retail,,,,
3446,2023,Amazon,Malware,559754,Retail,,,,
4675,2023,Amazon,Physical Breach,357395,Retail,,,,
5990,2023,Amazon,Password Guessing,910043,Retail,,,,
6315,2023,Amazon,Phishing,399814,Retail,,,,
6901,2023,Amazon,Insider Threat,125603,Retail,,,,
7544,2023,Amazon,Physical Breach,862582,Retail,,,,
8311,2023,Amazon,Malware,359142,Technology,,,,
12314,2023,Amazon,DDoS Attack,171337,Government,,,,
140,2024,Amazon,Password Guessing,573949,Retail,,,,
306,2024,Amazon,Malware,24643,Technology,,,,
801,2024,Amazon,Malware,579490,Retail,,,,
837,2024,Amazon,Phishing,972347,Technology,,,,
1139,2024,Amazon,Ransomware,446625,Retail,,,,
1722,2024,Amazon,Ransomware,168011,Technology,,,,
1918,2024,Amazon,Malware,476774,Retail,,,,
1987,2024,Amazon,Malware,735207,Technology,,,,
2683,2024,Amazon,Ransomware,782563,Technology,,,,
3204,2024,Amazon,Insider Threat,179670,Technology,,,,
3440,2024,Amazon,Physical Breach,855290,Retail,,,,
4131,2024,Amazon,DDoS Attack,798544,Retail,,,,
4365,2024,Amazon,DDoS Attack,145790,Technology,,,,
4486,2024,Amazon,Malware,368701,Technology,,,,
5097,2024,Amazon,Malware,991570,Technology,,,,
6281,2024,Amazon,Phishing,711889,Technology,,,,
6283,2024,Amazon,Physical Breach,891212,Technology,,,,
7673,2024,Amazon,DDoS Attack,568802,Technology,,,,
8097,2024,Amazon,Physical Breach,696289,Technology,,,,
9446,2024,Amazon,Insider Threat,156638,Technology,,,,
12330,2024,Amazon,Malware,715427,Healthcare,,,,
586,2000,American Express,Malware,73866,Finance,,,,
1430,2000,American Express,Password Guessing,167306,Finance,,,,
2379,2000,American Express,Insider Threat,323230,Finance,,,,
2532,2000,American Express,Insider Threat,978953,Finance,,,,
3857,2000,American Express,Insider Threat,124451,Finance,,,,
6787,2000,American Express,DDoS Attack,753797,Finance,,,,
8831,2000,American Express,Physical Breach,955169,Finance,,,,
8978,2000,American Express,DDoS Attack,313675,Finance,,,,
9275,2000,American Express,Ransomware,423497,Finance,,,,
2126,2001,American Express,DDoS Attack,710641,Finance,,,,
2196,2001,American Express,Malware,508348,Finance,,,,
2285,2001,American Express,Phishing,461688,Finance,,,,
3940,2001,American Express,Phishing,855843,Finance,,,,
4089,2001,American Express,Password Guessing,441373,Finance,,,,
4623,2001,American Express,Malware,285402,Finance,,,,
5736,2001,American Express,Insider Threat,330754,Finance,,,,
7724,2001,American Express,Ransomware,386021,Finance,,,,
7768,2001,American Express,Phishing,101298,Finance,,,,
8560,2001,American Express,Physical Breach,327334,Finance,,,,
10807,2001,American Express,Password Guessing,16560,Finance,,,,
10845,2001,American Express,Phishing,480220,Finance,,,,
11015,2001,American Express,Malware,369312,Technology,,,,
11128,2001,American Express,Insider Threat,174962,Technology,,,,
12074,2001,American Express,Insider Threat,176832,Healthcare,,,,
502,2002,American Express,Physical Breach,336996,Finance,,,,
1482,2002,American Express,Ransomware,479420,Finance,,,,
1927,2002,American Express,Insider Threat,619788,Finance,,,,
3066,2002,American Express,Ransomware,108297,Finance,,,,
3939,2002,American Express,Ransomware,71646,Finance,,,,
4713,2002,American Express,Ransomware,936054,Finance,,,,
6262,2002,American Express,Insider Threat,594810,Finance,,,,
9378,2002,American Express,DDoS Attack,335074,Finance,,,,
11189,2002,American Express,Password Guessing,551417,Technology,,,,
12332,2002,American Express,DDoS Attack,951957,Healthcare,,,,
600,2003,American Express,Ransomware,703855,Finance,,,,
1203,2003,American Express,Phishing,500159,Finance,,,,
1464,2003,American Express,Insider Threat,844721,Finance,,,,
2547,2003,American Express,Insider Threat,578512,Finance,,,,
6580,2003,American Express,Physical Breach,246556,Finance,,,,
7096,2003,American Express,Physical Breach,903093,Finance,,,,
7377,2003,American Express,Ransomware,720636,Finance,,,,
7806,2003,American Express,Phishing,798718,Finance,,,,
7960,2003,American Express,Password Guessing,685726,Finance,,,,
8232,2003,American Express,Physical Breach,504911,Finance,,,,
8772,2003,American Express,Ransomware,19945,Finance,,,,
9205,2003,American Express,Password Guessing,563202,Finance,,,,
10327,2003,American Express,Malware,336784,Government,,,,
11489,2003,American Express,Physical Breach,654802,Technology,,,,
12144,2003,American Express,Physical Breach,841702,Technology,,,,
426,2004,American Express,DDoS Attack,52047,Finance,,,,
904,2004,American Express,Password Guessing,498654,Finance,,,,
5312,2004,American Express,Ransomware,584398,Finance,,,,
5798,2004,American Express,Password Guessing,668374,Finance,,,,
6313,2004,American Express,DDoS Attack,432651,Finance,,,,
10010,2004,American Express,Insider Threat,772000,Finance,,,,
10394,2004,American Express,Password Guessing,731715,Healthcare,,,,
11310,2004,American Express,Phishing,661205,Technology,,,,
11745,2004,American Express,Ransomware,585419,Technology,,,,
358,2005,American Express,Phishing,411396,Finance,,,,
528,2005,American Express,Physical Breach,135476,Finance,,,,
3407,2005,American Express,Malware,407977,Finance,,,,
