industry,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles
mining & metals,287,0.19488147539536493,16.0,0.12618296529968456
facilities services,279,0.18944923914741052,31.0,0.24447949526813878
management consulting,256,0.17383155993454155,17.0,0.13406940063091483
law enforcement,254,0.17247350087255295,162.0,1.2776025236593058
computer & network security,253,0.17179447134155865,103.0,0.8123028391167193
defense & space,243,0.1650041760316156,13.0,0.1025236593059937
wireless,238,0.1616090283766441,3.0,0.02365930599369085
executive office,235,0.1595719397836612,25.0,0.1971608832807571
investment management,230,0.15617679212868968,23.0,0.1813880126182965
government administration,228,0.15481873306670108,113.0,0.891167192429022
package/freight delivery,226,0.15346067400471247,14.0,0.11041009463722397
business supplies and equipment,216,0.14667037869476943,9.0,0.07097791798107256
human resources,214,0.14531231963278082,34.0,0.26813880126182965
events services,210,0.14259620150880362,23.0,0.1813880126182965
medical devices,199,0.1351268766678663,19.0,0.1498422712933754
motion pictures and film,195,0.13241075854388906,26.0,0.2050473186119874
professional training & coaching,185,0.12562046323394604,10.0,0.07886435331230283
machinery,184,0.12494143370295174,9.0,0.07097791798107256
research,165,0.11203987261405998,59.0,0.46529968454258674
cosmetics,163,0.11068181355207139,4.0,0.03154574132492114
accounting,158,0.10728666589709987,12.0,0.0946372239747634
mechanical or industrial engineering,155,0.10524957730411695,8.0,0.06309148264984228
e-learning,151,0.10253345918013976,9.0,0.07097791798107256
education management,142,0.09642219340119101,18.0,0.14195583596214512
utilities,142,0.09642219340119101,10.0,0.07886435331230283
fine art,137,0.0930270457462195,1.0,0.007886435331230285
graphic design,134,0.0909899571532366,10.0,0.07886435331230283
primary/secondary education,132,0.089631898091248,12.0,0.0946372239747634
architecture & planning,128,0.08691577996727078,33.0,0.26025236593059936
renewables & environment,117,0.07944645512633344,6.0,0.0473186119873817
international trade and development,110,0.07469324840937333,40.0,0.31545741324921134
shipbuilding,104,0.0706190712234075,0.0,0.0
market research,94,0.06382877591346447,58.0,0.4574132492113565
performing arts,94,0.06382877591346447,6.0,0.0473186119873817
printing,87,0.05907556919650435,92.0,0.725552050473186
textiles,87,0.05907556919650435,0.0,0.0
logistics and supply chain,87,0.05907556919650435,1.0,0.007886435331230285
wine and spirits,81,0.05500139201053854,0.0,0.0
gambling & casinos,77,0.05228527388656133,10.0,0.07886435331230283
political organization,77,0.05228527388656133,44.0,0.3470031545741325
venture capital & private equity,77,0.05228527388656133,4.0,0.03154574132492114
program development,74,0.05024818529357842,7.0,0.055205047318611984
capital markets,67,0.0454949785766183,24.0,0.1892744479495268
legal services,61,0.04142080139065248,2.0,0.01577287066246057
maritime,55,0.037346624204686665,0.0,0.0
law practice,55,0.037346624204686665,8.0,0.06309148264984228
photography,51,0.034630506080709444,2.0,0.01577287066246057
environmental services,50,0.03395147654971515,1.0,0.007886435331230285
tobacco,48,0.03259341748772654,0.0,0.0
building materials,45,0.03055632889474363,2.0,0.01577287066246057
veterinary,45,0.03055632889474363,14.0,0.11041009463722397
philanthropy,44,0.02987729936374933,1.0,0.007886435331230285
furniture,41,0.02784021077076642,2.0,0.01577287066246057
import and export,36,0.024445063115794904,17.0,0.13406940063091483
security and investigations,31,0.021049915460823392,5.0,0.03943217665615142
museums and institutions,31,0.021049915460823392,4.0,0.03154574132492114
commercial real estate,29,0.019691856398834785,2.0,0.01577287066246057
supermarkets,28,0.019012826867840484,1.0,0.007886435331230285
fund-raising,27,0.01833379733684618,1.0,0.007886435331230285
farming,26,0.017654767805851877,3.0,0.02365930599369085
government relations,26,0.017654767805851877,8.0,0.06309148264984228
arts and crafts,25,0.016975738274857575,1.0,0.007886435331230285
civic & social organization,24,0.01629670874386327,1.0,0.007886435331230285
alternative medicine,23,0.015617679212868968,0.0,0.0
religious institutions,22,0.014938649681874664,3.0,0.02365930599369085
medical practice,22,0.014938649681874664,1.0,0.007886435331230285
military,22,0.014938649681874664,12.0,0.0946372239747634
civil engineering,19,0.012901561088891756,18.0,0.14195583596214512
industrial automation,19,0.012901561088891756,12.0,0.0946372239747634
animation,18,0.012222531557897452,3.0,0.02365930599369085
outsourcing/offshoring,18,0.012222531557897452,2.0,0.01577287066246057
paper & forest products,18,0.012222531557897452,0.0,0.0
individual & family services,17,0.01154350202690315,2.0,0.01577287066246057
recreational facilities and services,16,0.010864472495908847,3.0,0.02365930599369085
warehousing,15,0.010185442964914544,2.0,0.01577287066246057
international affairs,15,0.010185442964914544,5.0,0.03943217665615142
think tanks,13,0.008827383902925938,1.0,0.007886435331230285
translation and localization,12,0.008148354371931635,3.0,0.02365930599369085
nonprofit organization management,12,0.008148354371931635,4.0,0.03154574132492114
mental health care,12,0.008148354371931635,0.0,0.0
packaging and containers,11,0.007469324840937332,14.0,0.11041009463722397
railroad manufacture,11,0.007469324840937332,0.0,0.0
dairy,10,0.00679029530994303,4.0,0.03154574132492114
public safety,8,0.0054322362479544235,1.0,0.007886435331230285
plastics,6,0.004074177185965817,0.0,0.0
"glass, ceramics & concrete",5,0.003395147654971515,0.0,0.0
public policy,3,0.0020370885929829087,3.0,0.02365930599369085
libraries,3,0.0020370885929829087,1.0,0.007886435331230285
alternative dispute resolution,2,0.0013580590619886059,0.0,0.0
judiciary,2,0.0013580590619886059,1.0,0.007886435331230285
nanotechnology,1,0.0006790295309943029,0.0,0.0
ranching,1,0.0006790295309943029,0.0,0.0
